,DOWNTIME_ID,TRAIN_ID,DOWNTIME_TYPE_ID,DOWNTIME_START_DATE,DOWNTIME_END_DATE,DOWNTIME_LOCATION_ID,INITIAL_DOWNTIME_FLAG,DOWNTIME_EVENT_ID,DOWNTIME_EVENT_CAUSE_ID,DOWNTIME_EVENT_CLASS_ID,DOWNTIME_EVENT_PAR_CLASS_ID,DOWNTIME_EVENT_PAR_CLASS_NAME,DOWNTIME_DEPARTMENT_ID,DOWNTIME_EVENT_LOCATION_ID,DOWNTIME_EVENT_LOC_TYPE_ID,loaded,time_delta
0,80614,44401060,True,2016-04-15 07:32:00,2016-04-15 07:56:00,21006,False,66247,203,1,1,False,4,21003,12,False,0 days 00:24:00.000000000
1,80955,44439060,True,2016-04-17 14:27:00,2016-04-17 18:01:00,21007,False,66458,203,1,1,False,4,21006,12,True,0 days 03:34:00.000000000
2,81016,44465263,True,2016-04-18 01:39:00,2016-04-18 02:51:00,21019,False,66509,37,4,2,True,2,1000414,12,False,0 days 01:12:00.000000000
3,81042,44463240,True,2016-04-18 08:42:00,2016-04-18 09:35:00,21109,True,66570,92,1,1,False,3,21109,12,False,0 days 00:53:00.000000000
4,81073,44467086,True,2016-04-18 13:27:00,2016-04-18 15:56:00,1000828,True,66583,28,1,1,False,7,1000828,12,True,0 days 02:29:00.000000000
5,81068,44454882,True,2016-04-18 13:45:00,2016-04-18 14:49:00,21010,False,66557,203,1,1,False,4,21006,12,False,0 days 01:04:00.000000000
6,81135,44479881,True,2016-04-18 22:35:00,2016-04-18 23:46:00,21020,True,66606,198,1,1,False,3,21020,12,True,0 days 01:11:00.000000000
7,81134,44479432,True,2016-04-18 22:36:00,2016-04-18 23:42:00,21022,True,66607,198,1,1,False,3,21022,12,True,0 days 01:06:00.000000000
8,81152,44479881,True,2016-04-19 01:58:00,2016-04-19 02:30:00,21028,True,66617,92,1,1,False,3,21028,12,True,0 days 00:32:00.000000000
9,81175,44472773,True,2016-04-19 05:51:00,2016-04-19 07:42:00,21109,True,66633,2,2,2,True,3,21109,12,False,0 days 01:51:00.000000000
10,81201,44465496,True,2016-04-19 05:54:00,2016-04-19 13:30:00,21007,False,66636,203,1,1,False,4,21005,12,True,0 days 07:36:00.000000000
11,81222,44469435,True,2016-04-19 10:42:00,2016-04-19 16:55:00,21009,False,66647,203,1,1,False,4,21006,12,True,0 days 06:13:00.000000000
12,81245,44480696,True,2016-04-19 19:18:00,2016-04-19 20:25:00,21010,False,66683,203,1,1,False,4,21006,12,False,0 days 01:07:00.000000000
13,81241,44489687,True,2016-04-19 19:17:00,2016-04-19 19:58:00,21103,True,66677,92,1,1,False,3,21103,12,True,0 days 00:41:00.000000000
14,80598,44419558,True,2016-04-15 04:13:00,2016-04-15 04:43:00,21022,True,66241,198,1,1,False,3,21022,12,True,0 days 00:30:00.000000000
15,80618,44416643,True,2016-04-15 07:57:00,2016-04-15 08:46:00,21103,True,66261,92,1,1,False,3,21103,12,True,0 days 00:49:00.000000000
16,80975,44440645,True,2016-04-17 18:55:00,2016-04-17 20:08:00,21007,False,66450,203,1,1,False,4,21006,12,True,0 days 01:13:00.000000000
17,81028,44453968,True,2016-04-18 05:18:00,2016-04-18 05:52:00,21022,True,66546,198,1,1,False,3,1000412,12,False,0 days 00:34:00.000000000
18,81065,44453968,True,2016-04-18 08:57:00,2016-04-18 14:16:00,21007,False,66557,203,1,1,False,4,21006,12,True,0 days 05:19:00.000000000
19,81085,44457928,True,2016-04-18 14:04:00,2016-04-18 18:40:00,21007,False,66557,203,1,1,False,4,21006,12,True,0 days 04:36:00.000000000
20,81095,44466858,True,2016-04-18 18:59:00,2016-04-18 19:19:00,21018,True,66592,22,1,1,False,3,21018,12,False,0 days 00:20:00.000000000
21,81115,44469435,False,2016-04-18 19:57:00,2016-04-18 21:16:00,343,True,66605,15,2,2,True,7,7,15,False,0 days 01:19:00.000000000
22,81096,44472773,True,2016-04-18 19:06:00,2016-04-18 19:25:00,1000683,True,66597,92,1,1,False,3,1000683,12,True,0 days 00:19:00.000000000
23,81103,44454882,True,2016-04-18 19:17:00,2016-04-18 20:19:00,21007,False,66557,203,1,1,False,4,21006,12,True,0 days 01:02:00.000000000
24,81101,44462325,True,2016-04-18 19:09:00,2016-04-18 20:06:00,21006,False,66557,203,1,1,False,4,21006,12,False,0 days 00:57:00.000000000
25,81128,44480468,True,2016-04-18 22:42:00,2016-04-18 22:59:00,21018,True,66608,198,1,1,False,3,21018,12,True,0 days 00:17:00.000000000
26,81179,44476502,True,2016-04-19 05:55:00,2016-04-19 08:03:00,21026,True,66632,2,2,2,True,3,21026,12,False,0 days 02:08:00.000000000
27,81195,44484505,True,2016-04-19 10:59:00,2016-04-19 11:40:00,21101,True,66653,92,1,1,False,3,1000682,12,True,0 days 00:41:00.000000000
28,81207,44479432,True,2016-04-19 11:11:00,2016-04-19 14:27:00,21109,True,66659,2,2,2,True,3,21109,12,False,0 days 03:16:00.000000000
29,81236,44484505,False,2016-04-19 18:07:00,2016-04-19 19:11:00,1000712,True,66679,93,1,1,False,10,1000757,6,False,0 days 01:04:00.000000000
30,81235,44466859,True,2016-04-19 16:56:00,2016-04-19 19:11:00,21007,False,66683,203,1,1,False,4,21006,12,True,0 days 02:15:00.000000000
31,81224,44495466,True,2016-04-19 16:47:00,2016-04-19 17:00:00,21113,True,66671,92,1,1,False,3,21113,12,False,0 days 00:13:00.000000000
32,80599,44419313,True,2016-04-15 04:24:00,2016-04-15 04:59:00,21020,True,66240,198,1,1,False,3,21020,12,True,0 days 00:35:00.000000000
33,80600,44413657,True,2016-04-15 04:21:00,2016-04-15 05:10:00,21103,True,66242,92,1,1,False,3,21103,12,True,0 days 00:49:00.000000000
34,80619,44419313,True,2016-04-15 08:07:00,2016-04-15 09:05:00,21030,True,66262,92,1,1,False,3,21029,12,True,0 days 00:58:00.000000000
35,80944,44462212,False,2016-04-17 15:04:00,2016-04-17 16:02:00,1000709,True,66494,28,1,1,False,7,1000759,6,False,0 days 00:58:00.000000000
36,80968,44450153,True,2016-04-17 18:54:00,2016-04-17 19:14:00,21006,False,66450,203,1,1,False,4,21006,12,False,0 days 00:20:00.000000000
37,80969,44450633,True,2016-04-17 19:00:00,2016-04-17 19:24:00,21018,True,66506,22,1,1,False,3,21018,12,False,0 days 00:24:00.000000000
38,81021,44466287,True,2016-04-18 02:19:00,2016-04-18 03:25:00,21019,False,66509,37,4,2,True,2,1000414,12,False,0 days 01:06:00.000000000
39,81047,44454882,True,2016-04-18 09:20:00,2016-04-18 10:30:00,1000413,True,66561,22,1,1,False,3,1000413,12,False,0 days 01:10:00.000000000
40,81045,44467086,True,2016-04-18 09:22:00,2016-04-18 10:05:00,1000683,True,66555,92,1,1,False,3,1000683,12,True,0 days 00:43:00.000000000
41,81071,44466859,True,2016-04-18 14:04:00,2016-04-18 15:47:00,21114,True,66585,28,1,1,False,7,21114,12,False,0 days 01:43:00.000000000
42,81114,44464472,True,2016-04-18 14:10:00,2016-04-18 21:21:00,21026,False,66557,203,1,1,False,4,21006,12,False,0 days 07:11:00.000000000
43,81097,44463011,True,2016-04-18 19:10:00,2016-04-18 19:28:00,21006,False,66557,203,1,1,False,4,21006,12,False,0 days 00:18:00.000000000
44,81130,44465263,True,2016-04-18 22:54:00,2016-04-18 23:10:00,21006,False,66557,203,1,1,False,4,21006,12,False,0 days 00:16:00.000000000
45,81153,44480468,True,2016-04-19 02:21:00,2016-04-19 03:13:00,21027,True,66618,37,4,2,True,2,21029,12,False,0 days 00:52:00.000000000
46,81202,44467086,True,2016-04-19 06:17:00,2016-04-19 13:51:00,21007,False,66636,203,1,1,False,4,21005,12,True,0 days 07:34:00.000000000
